service,scenario,comparison,filter,elapsed_time_seconds
NWM API V2,retrospectives,1,HUC-0305010505,5.832636333012488
NWM API V2,retrospectives,1,HUC-030501050505,1.599325666000368
NWM API V2,retrospectives,1,REACH-12034579,1.2837938749871682
NWM API V2,retrospectives,2,HUC-0305010505,9.580900375003694
NWM API V2,retrospectives,2,HUC-030501050505,1.9411540830042213
NWM API V2,retrospectives,2,REACH-12034579,1.4397603340039495
NWM API V2,analyses-assim,1,HUC-0305010505,15.939458583976375
NWM API V2,analyses-assim,1,HUC-030501050505,6.974733041977743
NWM API V2,analyses-assim,1,REACH-12034579,8.979444083000999
NWM API V2,analyses-assim,2,HUC-0305010505,11.069623624993255
NWM API V2,analyses-assim,2,HUC-030501050505,8.938149208988762
NWM API V2,analyses-assim,2,REACH-12034579,5.785503833991243
NWM API V2,forecasts (short_range),1,HUC-0305010505,3.984136499988381
NWM API V2,forecasts (short_range),1,HUC-030501050505,2.042176999995718
NWM API V2,forecasts (short_range),1,REACH-12034579,2.1474030840035994
NWM API V2,forecasts (medium_range),1,HUC-0305010505,15.266128457995364
NWM API V2,forecasts (medium_range),1,HUC-030501050505,7.5377448329818435
NWM API V2,forecasts (medium_range),1,REACH-12034579,9.916838417004328
NWM API V2,forecasts (long_range),1,HUC-0305010505,8.214779583999189
NWM API V2,forecasts (long_range),1,HUC-030501050505,4.075183666020166
NWM API V2,forecasts (long_range),1,REACH-12034579,3.701944458996877
NWM API V2,return_periods,1,HUC-0305010505,3.0328203749959357
NWM API V2,return_periods,1,HUC-030501050505,1.8646390409849118
NWM API V2,return_periods,1,REACH-12034579,1.4885565839940682
NWM API V2,geometries,1,HUC-0305010505,1.9165977919765282
NWM API V2,geometries,1,HUC-030501050505,1.218709459004458
NWM API V2,geometries,1,REACH-12034579,1.6262925839982927
TEEHR,retrospectives,1,HUC-0305010505,16.861793832998956
TEEHR,retrospectives,1,HUC-030501050505,13.733983666999848
TEEHR,retrospectives,1,REACH-12034579,12.639703957989695
TEEHR,retrospectives,2,HUC-0305010505,15.984503707994008
TEEHR,retrospectives,2,HUC-030501050505,15.077170833013952
TEEHR,retrospectives,2,REACH-12034579,14.490288125001825
TEEHR,analyses-assim,1,HUC-0305010505,194.79409412499808
TEEHR,analyses-assim,1,HUC-030501050505,177.8720317910047
TEEHR,analyses-assim,1,REACH-12034579,219.26621495799918
TEEHR,analyses-assim,2,HUC-0305010505,799.4732180829888
TEEHR,analyses-assim,2,HUC-030501050505,766.0932734160015
TEEHR,analyses-assim,2,REACH-12034579,706.2621393750014
TEEHR,forecasts (short_range),1,HUC-0305010505,6.128896499983966
TEEHR,forecasts (short_range),1,HUC-030501050505,5.346369000006234
TEEHR,forecasts (short_range),1,REACH-12034579,5.228127250011312
TEEHR,forecasts (medium_range),1,HUC-0305010505,61.0030058749835
TEEHR,forecasts (medium_range),1,HUC-030501050505,60.75286441697972
TEEHR,forecasts (medium_range),1,REACH-12034579,58.95184945798246
TEEHR,forecasts (long_range),1,HUC-0305010505,30.987961457984056
TEEHR,forecasts (long_range),1,HUC-030501050505,30.495905166026205
TEEHR,forecasts (long_range),1,REACH-12034579,30.360655459022382
NWM API V1,analyses-assim,1,HUC-0305010505,
NWM API V1,analyses-assim,1,HUC-030501050505,9.444745291984873
NWM API V1,analyses-assim,1,REACH-12034579,6.457419334008591
NWM API V1,analyses-assim,2,HUC-0305010505,
NWM API V1,analyses-assim,2,HUC-030501050505,10.528941333002876
NWM API V1,analyses-assim,2,REACH-12034579,10.297172624996165
NWM API V1,forecasts (short_range),1,HUC-0305010505,4.859883834025823
NWM API V1,forecasts (short_range),1,HUC-030501050505,2.3744804580055643
NWM API V1,forecasts (short_range),1,REACH-12034579,2.321486000000732
NWM API V1,forecasts (medium_range),1,HUC-0305010505,
NWM API V1,forecasts (medium_range),1,HUC-030501050505,11.971988334000343
NWM API V1,forecasts (medium_range),1,REACH-12034579,12.699501166993286
NWM API V1,forecasts (long_range),1,HUC-0305010505,14.056048209022265
NWM API V1,forecasts (long_range),1,HUC-030501050505,5.2447953750088345
NWM API V1,forecasts (long_range),1,REACH-12034579,4.526825624983758
NWM API V1,return_periods,1,HUC-0305010505,1.4272745419875719
NWM API V1,return_periods,1,HUC-030501050505,1.5484673329920042
NWM API V1,return_periods,1,REACH-12034579,1.0192125839821529
NWM API V1,geometries,1,HUC-0305010505,2.4938270410057157
NWM API V1,geometries,1,HUC-030501050505,1.358502832998056
NWM API V1,geometries,1,REACH-12034579,1.5300733750045765
