scenario,case,filter,elapsed_time_seconds,bytes_processed,job_id
retrospectives,case_01,HUC-0305010505,5.832636333012488,1160000,8931e2bd-7403-4e49-947e-3d6a4aa61bc0
retrospectives,case_01,HUC-030501050505,1.599325666000368,824,15a77a0d-93d3-4d88-aa7b-4217b9d43a19
retrospectives,case_01,Reach-12034579,1.2837938749871682,182,fff996d8-eda3-403a-a306-6b92ab8fc695
retrospectives,case_02,HUC-0305010505,9.580900375003694,1160000,66d7cb13-7f2a-456b-82a2-a1ab73fb3fa0
retrospectives,case_02,HUC-030501050505,1.9411540830042213,824,9bc7bf19-fd76-4e4e-8c95-3ee5575b7bc1
retrospectives,case_02,Reach-12034579,1.4397603340039495,182,ddb67da2-8133-4d18-a302-7469266ad2e4
retrospectives,case_03,HUC-0305010505,5.423052666999865,,
retrospectives,case_03,HUC-030501050505,1.5197602910047863,,
retrospectives,case_03,Reach-12034579,1.1471300419943873,,
retrospectives,case_04,HUC-0305010505,5.191079624986742,,
retrospectives,case_04,HUC-030501050505,1.5266185000073165,,
retrospectives,case_04,Reach-12034579,1.242302041995572,,
retrospectives,case_05,HUC-0305010505,5.1208627079904545,,
retrospectives,case_05,HUC-030501050505,1.4951984170184005,,
retrospectives,case_05,Reach-12034579,1.1138899170036893,,
retrospectives,case_06,HUC-0305010505,18.966739791998407,,
retrospectives,case_06,HUC-030501050505,3.946861667005578,,
retrospectives,case_06,Reach-12034579,2.7465994170052,,
retrospectives,case_07,HUC-0305010505,10.784015332988929,,
retrospectives,case_07,HUC-030501050505,3.3895887919934466,,
retrospectives,case_07,Reach-12034579,2.0510550829931162,,
analyses-assim,case_01,HUC-0305010505,15.939458583976375,633,4fcb5638-b2e5-4945-bb17-4a0f508b5e43
analyses-assim,case_01,HUC-030501050505,6.974733041977743,309,ce02fab0-6e85-417c-95fd-b7c8ea40bdf1
analyses-assim,case_01,Reach-12034579,8.979444083000999,224,4e4e94c9-d366-455d-957b-895b88719e96
analyses-assim,case_02,HUC-0305010505,11.069623624993255,839,a016f5ba-0f04-4f47-9169-6e5901b95712
analyses-assim,case_02,HUC-030501050505,8.938149208988762,406,052ee04f-dae6-4253-89ed-a792e74ef5fd
analyses-assim,case_02,Reach-12034579,5.785503833991243,320,5bdb4a0d-0939-40d2-ac37-7dae896e998a
short_range_forecast,case_01,HUC-0305010505,3.984136499988381,807,3ce5da6d-83a4-424b-a6cf-798a577bde90
short_range_forecast,case_01,HUC-030501050505,2.042176999995718,361,cb68dfdb-1c19-40a4-b693-70e8748fadb4
short_range_forecast,case_01,Reach-12034579,2.1474030840035994,122,bc66798b-6107-4f1e-8407-5a66bb86a88f
medium_range_forecast,case_01,HUC-0305010505,15.266128457995364,3520,a1999cbd-cf11-4ac6-b6d5-2f70a864a7ae
medium_range_forecast,case_01,HUC-030501050505,7.5377448329818435,874,3b83b2af-a78c-4b39-a494-e6c188999ea9
medium_range_forecast,case_01,Reach-12034579,9.916838417004328,158,f8cca697-690e-4aab-aba7-1d25e3e14f9e
medium_range_forecast,case_02,HUC-0305010505,9.755682332994184,2930,85216344-c993-4ea0-b740-dd94a5660db1
medium_range_forecast,case_02,HUC-030501050505,8.625404708000133,729,e96b1c34-2e6f-44b3-981a-94d158761a85
medium_range_forecast,case_02,Reach-12034579,6.511844458000269,131,2493fbbb-42f0-4f35-ae48-895619663d7a
long_range_forecast,case_01,HUC-0305010505,8.214779583999189,2000,82fbd49e-a03e-430e-b346-e6b27b12451b
long_range_forecast,case_01,HUC-030501050505,4.075183666020166,818,7b26ee1f-e8ab-48ad-a7ee-aa9093c51ec3
long_range_forecast,case_01,Reach-12034579,3.701944458996877,127,a661d55e-620c-48ed-ae66-c83233473432
long_range_forecast,case_02,HUC-0305010505,6.084501708013704,1670,04799e6f-ee2b-4a99-a2d4-9f2b32d494cc
long_range_forecast,case_02,HUC-030501050505,4.087020208011381,681,c7d2a0c3-ab32-4d1a-8948-d8252156f98e
long_range_forecast,case_02,Reach-12034579,3.234908374986844,106,89e730c2-25b4-40e1-8a0e-e5ceb672cc34
return_periods,case_01,HUC-0305010505,3.0328203749959357,166,c3d76ec2-928c-4572-b710-a4ee2eb00b62
return_periods,case_01,HUC-030501050505,1.8646390409849118,166,d1fe9bfa-7250-4c0d-b0cd-d463169e82bd
return_periods,case_01,Reach-12034579,1.4885565839940682,166,a2a9d909-63f0-476e-876f-badec82707cf
return_periods,case_02,HUC-0305010505,3.1719723340065684,104,8753861f-bcff-4539-8c99-5e2bce765f37
return_periods,case_02,HUC-030501050505,1.431322915974306,104,824dd683-2071-47fc-ab1a-4f0fcf8e7b06
return_periods,case_02,Reach-12034579,1.3867656249785796,104,a09e09f7-6246-48d5-be96-5ca4b91cbbeb
geometries,case_01,HUC-0305010505,1.9165977919765282,1710,3b873eb6-03b3-44e7-b980-dfa4a2f37ff0
geometries,case_01,HUC-030501050505,1.218709459004458,1710,223d597a-3f46-4568-83a0-343316ee35e3
geometries,case_01,Reach-12034579,1.6262925839982927,1710,045a977f-c56b-4e73-95d4-db7a87d1e810
flow-metrics,case_01,HUC-0305010505,2.5731459590024315,1130,bcfc1841-a575-4ffa-a781-870844f9b23f
flow-metrics,case_01,HUC-030501050505,1.075498082995182,1130,c1013fcb-e5ed-4a1d-a6b8-07647dab1141
flow-metrics,case_01,Reach-12034579,1.1337399999902118,1130,95eb3629-0f53-4975-bb08-ecb318cea120
percentile-flows,case_01,HUC-0305010505,1.22698741700151,297,75f4ef9c-bbe1-4119-bd98-ebd7036c652f
percentile-flows,case_01,HUC-030501050505,1.0049965840007644,297,4c620efc-cbcb-4cb3-a206-8aa469c9f4ee
